authors,affiliation
Arvind Ramanathan,Apple
Anita Schöbel,California Berkeley
Keecheon Kim,Columbia
Amir Bozorgzadeh,Meta
John T. Fredricksen,Amazon
Kwok-Kai Soo,Alphabet
Chia-Lung Yeh,Amazon
Hen-Wai Tsao,Microsoft
Roy Edgar Hansen,Meta
David Dagan Feng,Apple
Qiqi Wang,Oxford
Arturo Molina 0001,Washington Seattle
Andrzej Omieljanowicz,Apple
Diogo Poças,Samsung
André Raspaud,Microsoft
Naohisa Komatsu,Microsoft
Lukasz Maksymiuk,Stanford
Norman F. Schneidewind,Cambridge
C. G. Parthipan,Washington Seattle
Akira Suzuki,Apple
Hai-Wei Sun,Amazon
Wirt Atmar,Oxford
Hidehisa Yoshida,Meta
Lianjun Xiao,Apple
Mazen O. Hasna,Apple
Arthur J. Davidson,Cambridge
Bettina Klaus,Amazon
Jiang Ma,California Berkeley
Alper Korkmaz,Alphabet
Dok Nam Lee,Apple
Ahmed M. Mohamed,Apple
Adriano Meta,Amazon
Astrid Tannert,Amazon
Heike Siebert,Stanford
Guangyuan Pan,Amazon
Chi-Sang Jung,Amazon
E. Lerzan Örmeci,Apple
Andrew J. Hinchley,Samsung
N. C. Simpson,Columbia
E. A. Mary Anita,Amazon
Cynthia Jane Solomon,Amazon
Chih-Yuan Yao,California Institute of Technology
Jan Camenisch,Samsung
Arun Mittal,Oxford
M. I. Cohen,Alphabet
Moulay A. Barkatou,Samsung
Oliver Marschollek,Meta
Björn Berghausen,Apple
Hady Pranoto,California Berkeley
Adel El-Faraskoury,Washington Seattle
Laurent Chupin,Columbia
K. R. Ramakrishnan,Cambridge
Bita Alipasandi,Columbia
Erik Meineche Schmidt,Washington Seattle
Huijun Wu,Washington Seattle
Daniela Guaiana,Samsung
Karl-Heinz Best,Apple
Dan Suciu,Alphabet
Danni Zhu,Amazon
Babak Farzad,Stanford
Constant Solimando,Microsoft
Fabio Nobile,Stanford
Le Deng,Samsung
Amaro de Sousa,Apple
Aku Riihelä,California Institute of Technology
Daniel Troy,Washington Seattle
Jiaqi Zhang 0001,Amazon
Gabriel M. Silberman,California Institute of Technology
Anton Schiela,Apple
Daniel Cullina,California Berkeley
David Perry,Amazon
Renbiao Wu,Samsung
Huiqin Xie,Oxford
Theodosios Pavlidis,Amazon
Aida Pliuskeviciene,California Institute of Technology
Anna Maria Paganoni,Oxford
Hermano Frid,Samsung
David T. Wong,Microsoft
Ming Zhang,Washington Seattle
Chaojiang Wu,Oxford
Di Li 0003,Stanford
Theodore Hailperin,Alphabet
Fabian Rothmaier,Cambridge
Duyan Bi,Oxford
Amir Shmuel,Columbia
Osama Rashed Sayed,Samsung
Chi-Wang Shu,Amazon
David Alan Grier,Washington Seattle
Robert Finger,Washington Seattle
Louise A. Mawn,Meta
Haowei Xu,California Institute of Technology
Vera Tilson,California Institute of Technology
Christopher I. Amos,Alphabet
Luca Schenato 0001,Amazon
S. Twomey,Samsung
Abbas Heydari,Samsung
Kanad Chakraborty,Samsung
Dinesh Manocha,Microsoft
Dariusz Fabianowski,Oxford
Ilan Abramovici,Amazon
