proceeding,start_time,end_time,year
1,1994-12-01,1994-12-06,1994
2,1976-12-21,1976-12-28,1976
3,1994-03-20,1994-03-26,1994
4,1967-11-23,1967-12-02,1967
5,1985-10-14,1985-10-19,1985
6,2006-09-13,2006-09-21,2006
7,2006-01-07,2006-01-17,2006
8,1977-03-22,1977-03-31,1977
9,1976-02-28,1976-03-08,1976
10,2019-04-20,2019-04-25,2019
11,1986-03-05,1986-03-15,1986
12,1995-04-27,1995-04-30,1995
13,1994-01-21,1994-01-25,1994
14,1994-11-10,1994-11-14,1994
15,1986-08-14,1986-08-18,1986
16,1991-01-19,1991-01-28,1991
17,2001-01-26,2001-01-29,2001
18,2009-05-08,2009-05-12,2009
19,2006-11-07,2006-11-14,2006
20,1986-10-22,1986-10-29,1986
21,1997-02-27,1997-03-03,1997
22,2001-04-17,2001-04-27,2001
23,1974-08-04,1974-08-11,1974
24,1989-11-09,1989-11-12,1989
25,1982-11-30,1982-12-05,1982
26,1993-04-20,1993-04-30,1993
27,1980-04-17,1980-04-24,1980
28,2019-09-29,2019-10-05,2019
29,1981-12-08,1981-12-11,1981
30,1996-05-18,1996-05-25,1996
31,2023-12-12,2023-12-19,2023
32,2017-07-11,2017-07-21,2017
33,2001-07-06,2001-07-14,2001
34,2018-03-17,2018-03-24,2018
35,2012-10-29,2012-11-02,2012
36,1981-05-31,1981-06-02,1981
37,2012-07-04,2012-07-08,2012
38,2021-07-15,2021-07-19,2021
39,2015-05-23,2015-05-27,2015
40,2001-03-06,2001-03-09,2001
41,1967-12-03,1967-12-08,1967
42,2003-12-31,2003-01-06,2003
43,1975-03-11,1975-03-13,1975
44,1991-05-13,1991-05-19,1991
45,1996-10-21,1996-10-30,1996
46,2001-02-26,2001-03-06,2001
47,2006-12-06,2006-12-10,2006
48,1974-02-09,1974-02-11,1974
49,1979-07-14,1979-07-18,1979
50,1995-07-24,1995-07-26,1995
51,2023-08-06,2023-08-14,2023
52,1963-07-20,1963-07-28,1963
53,2000-03-20,2000-03-30,2000
54,2016-08-25,2016-08-31,2016
55,2016-04-11,2016-04-17,2016
56,1963-02-25,1963-03-03,1963
57,2014-08-03,2014-08-11,2014
58,1983-01-03,1983-01-08,1983
59,1992-04-30,1992-05-08,1992
60,2003-08-29,2003-08-30,2003
61,2016-03-28,2016-03-31,2016
62,2019-07-29,2019-08-07,2019
63,2017-10-22,2017-10-31,2017
64,1988-07-30,1988-07-31,1988
65,1980-06-27,1980-07-02,1980
66,2010-08-17,2010-08-26,2010
67,2006-04-11,2006-04-16,2006
68,1987-12-28,1987-01-03,1987
69,1963-06-10,1963-06-15,1963
70,1975-06-05,1975-06-12,1975
71,1974-10-11,1974-10-14,1974
72,1986-10-06,1986-10-15,1986
73,1989-08-15,1989-08-25,1989
74,2002-08-14,2002-08-21,2002
75,2009-08-17,2009-08-19,2009
76,1990-07-25,1990-07-26,1990
77,1989-01-03,1989-01-07,1989
78,1957-06-22,1957-06-26,1957
79,2011-08-16,2011-08-21,2011
80,2010-10-02,2010-10-07,2010
81,2015-08-02,2015-08-09,2015
82,1975-01-16,1975-01-26,1975
83,1992-10-25,1992-10-28,1992
84,2006-11-07,2006-11-15,2006
85,1963-04-01,1963-04-05,1963
86,1986-04-09,1986-04-11,1986
87,2023-04-08,2023-04-16,2023
88,2015-04-16,2015-04-21,2015
89,1997-11-18,1997-11-28,1997
90,1996-04-09,1996-04-17,1996
91,2000-04-05,2000-04-09,2000
92,2003-10-09,2003-10-12,2003
93,2023-03-26,2023-04-01,2023
94,2003-05-20,2003-05-30,2003
95,2018-12-28,2018-12-31,2018
96,2003-03-27,2003-04-03,2003
97,2019-09-07,2019-09-10,2019
98,2010-12-29,2010-01-02,2010
99,1980-05-21,1980-05-22,1980
100,1983-01-08,1983-01-13,1983
